,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,lat,lon
72,470,Amano,U.S.A,2010,Ecuador,Guayas,70,4,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,strong spice,intense pepper,,,28.4322,-125.1227
73,470,Amano,U.S.A,2010,Dominican republic,Dos Rios,70,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,orange,cinamon,,,28.4322,-125.1227
74,544,Amano,U.S.A,2010,Venezuela,Chuao,70,3,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,woody,red berry,sour,,28.4322,-125.1227
75,725,Amano,U.S.A,2011,Papua new guinea,Morobe,70,4,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,tart,lemon,smoke,,28.4322,-125.1227
76,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dry,chalky,fudge-like,,41.421211,-12.21117
77,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,oddly sweet,marshmallow,,41.421211,-12.21117
78,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,waxy mouthfeel,spicy,,,41.421211,-12.21117
79,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,mushroom,off notes,,41.421211,-12.21117
80,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,vegetal,nutty,cocoa,-12.07131,-82.56
81,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,vanilla,melon,cocoa,-12.07131,-82.56
